Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Unused
1680210000000,1795.24000000,1797.68000000,1790.52000000,1792.80000000,12272.75280000,1680213599999,22016983.11385800,28692,6465.92180000,11598567.96541400,0
1680213600000,1792.79000000,1795.12000000,1782.11000000,1784.47000000,15354.05950000,1680217199999,27491424.79161500,29781,7691.76440000,13772443.21056900,0
1680217200000,1784.47000000,1800.00000000,1781.84000000,1793.61000000,15006.95500000,1680220799999,26856292.51536300,30897,9217.09440000,16497939.97513400,0
1680220800000,1793.60000000,1809.32000000,1789.42000000,1805.43000000,24915.35370000,1680224399999,44854459.18715400,34944,13078.22510000,23548520.19562500,0
1680224400000,1805.42000000,1817.99000000,1800.00000000,1802.35000000,28743.78930000,1680227999999,52031705.70122200,44023,14874.32260000,26928769.35346100,0
1680228000000,1802.35000000,1805.61000000,1799.39000000,1803.18000000,11827.32760000,1680231599999,21320828.14590600,27405,6673.18090000,12030111.07389300,0
1680231600000,1803.18000000,1808.72000000,1802.46000000,1803.22000000,11463.05270000,1680235199999,20690300.26046000,24347,5667.77020000,10231185.13951800,0
1680235200000,1803.23000000,1805.46000000,1799.96000000,1804.71000000,10624.09330000,1680238799999,19150549.51654000,23839,5194.66190000,9363998.75253700,0
1680238800000,1804.71000000,1808.50000000,1792.63000000,1796.62000000,13273.93670000,1680242399999,23904484.77927400,27978,6204.11840000,11174856.84093900,0
1680242400000,1796.61000000,1800.00000000,1795.05000000,1797.95000000,9957.90000000,1680245999999,17900785.54274200,21905,4264.28640000,7665618.96675700,0
1680246000000,1797.94000000,1799.02000000,1777.91000000,1795.23000000,35617.68130000,1680249599999,63676121.04102700,51052,15868.21610000,28368569.61304500,0
1680249600000,1795.23000000,1798.23000000,1786.17000000,1790.00000000,19260.73120000,1680253199999,34538767.39681300,37810,10003.63160000,17936784.66800200,0
1680253200000,1790.00000000,1794.57000000,1787.12000000,1790.16000000,12879.45540000,1680256799999,23061384.54774200,33782,7470.72620000,13377240.11416600,0
1680256800000,1790.16000000,1799.72000000,1789.29000000,1792.89000000,12925.65710000,1680260399999,23196686.48410300,25804,6946.06040000,12465593.43401700,0
1680260400000,1792.88000000,1795.97000000,1788.85000000,1792.89000000,13313.89420000,1680263999999,23865330.94047000,32403,6442.55500000,11549450.82319400,0
